user_id,annual_income,monthly_income,monthly_expenses,annual_expenses,current_savings,savings_ratio,emergency_fund,emergency_fund_months,total_investments,investment_ratio,retirement_savings,total_debt,debt_ratio,emi_per_month,insurance_coverage,insurance_level,income_stability,financial_health_score,financial_risk_level,savings_quality
484,3302325,275193,278280,3339360,355397,0.11,1389737,5.0,4007754,1.21,2782393,8625782,2.61,36797,14972673,Basic,Low,49,High,Poor
485,5000948,416745,91650,1099800,16223682,3.24,1969593,21.5,6019590,1.2,678132,3671175,0.73,127832,7776236,None,Moderate,71,Moderate,Excellent
486,3349046,279087,137693,1652316,1436412,0.43,1402125,10.2,3469093,1.04,8688672,6060792,1.81,101736,15759651,Strong,Low,63,Moderate,Average
487,584744,48728,184906,2218872,3463656,5.92,1475841,8.0,8747185,14.96,4588489,4417710,7.55,151684,18265357,Basic,Moderate,75,Moderate,Excellent
488,5733425,477785,213452,2561424,12257325,2.14,1232451,5.8,10961168,1.91,1305896,8668165,1.51,65951,12627498,Basic,High,74,Moderate,Excellent
489,3654451,304537,200020,2400240,11577363,3.17,1021022,5.1,13298585,3.64,8088465,10136978,2.77,1729,16838854,Basic,Moderate,78,Moderate,Excellent
490,1639202,136600,135581,1626972,2586651,1.58,1079071,8.0,10795752,6.59,4711201,3548668,2.16,39384,6271513,Basic,Moderate,79,Moderate,Excellent
491,5300112,441676,77039,924468,7729140,1.46,869507,11.3,13609218,2.57,5540252,1901507,0.36,126226,22656939,Strong,Moderate,95,Low,Good
492,2017512,168126,99539,1194468,13787489,6.83,47072,0.5,4088109,2.03,723841,2145556,1.06,150336,19875889,Basic,Low,54,Moderate,Excellent
493,5530967,460913,283772,3405264,1315027,0.24,1868138,6.6,9601085,1.74,2463987,938047,0.17,43605,8665755,Basic,High,76,Moderate,Poor
494,3651214,304267,24762,297144,9511158,2.6,1986535,80.2,1438621,0.39,3633834,7536381,2.06,158997,15818010,Strong,Low,64,Moderate,Excellent
495,2090157,174179,230360,2764320,4788624,2.29,1666430,7.2,9775180,4.68,3051509,10455757,5.0,172922,17139768,Moderate,Low,74,Moderate,Excellent
496,3124534,260377,252748,3032976,19817113,6.34,144374,0.6,3855635,1.23,6345333,6466977,2.07,34658,3643008,None,Low,63,Moderate,Excellent
497,4634820,386235,279429,3353148,14085983,3.04,1733325,6.2,2509220,0.54,1615622,2976650,0.64,124746,20627525,None,High,70,Moderate,Excellent
498,4472231,372685,76612,919344,3126936,0.7,1011332,13.2,11062772,2.47,2186555,10124624,2.26,141370,27767023,None,High,64,Moderate,Average
499,5696150,474679,241228,2894736,17516897,3.08,882238,3.7,6213902,1.09,728773,11704504,2.05,138888,14393383,Basic,Moderate,61,Moderate,Excellent
500,3448043,287336,198772,2385264,19765173,5.73,1687412,8.5,12438527,3.61,9665703,1639417,0.48,111539,4492371,Moderate,Moderate,94,Low,Excellent
501,2200459,183371,58944,707328,9504852,4.32,1254709,21.3,14709697,6.68,9122292,6855954,3.12,67582,6342492,None,High,80,Low,Excellent
502,309677,25806,288961,3467532,3953671,12.77,1090019,3.8,120696,0.39,6291957,10981461,35.46,53849,23077622,Moderate,Moderate,62,Moderate,Excellent
503,3288939,274078,70880,850560,5193507,1.58,893536,12.6,10931630,3.32,9820882,4255251,1.29,68498,28688265,Strong,High,89,Low,Excellent
504,3317244,276437,159473,1913676,13336348,4.02,1583290,9.9,3417412,1.03,6932818,9262783,2.79,146161,16188931,Basic,Moderate,70,Moderate,Excellent
505,4940018,411668,268629,3223548,8515364,1.72,643098,2.4,9691378,1.96,5777340,11836235,2.4,104367,24688761,Basic,High,72,Moderate,Excellent
506,1248963,104080,135466,1625592,14985237,12.0,1642299,12.1,11732499,9.39,2714471,1682396,1.35,56218,17057178,Strong,Moderate,81,Low,Excellent
507,4868568,405714,42290,507480,5393472,1.11,816009,19.3,10668239,2.19,88762,1528212,0.31,38096,15826573,Strong,Low,84,Low,Good
508,787545,65628,152935,1835220,7441374,9.45,777697,5.1,1342843,1.71,633429,6447920,8.19,105026,20601266,Moderate,High,73,Moderate,Excellent
509,5261963,438496,45127,541524,5881123,1.12,1342788,29.8,8294125,1.58,7364728,179690,0.03,52876,28540313,Moderate,Low,91,Low,Good
510,531935,44327,282674,3392088,17307833,32.54,1464755,5.2,3886793,7.31,2843451,11308252,21.26,9453,12070871,Basic,High,78,Moderate,Excellent
511,252409,21034,97546,1170552,2913961,11.54,578681,5.9,13080740,51.82,6701385,5924499,23.47,175547,13258802,Strong,High,80,Low,Excellent
512,1930325,160860,286446,3437352,515614,0.27,1545444,5.4,11804817,6.12,1151205,1512732,0.78,144072,9546027,Moderate,Moderate,59,Moderate,Poor
513,2569515,214126,133644,1603728,6527182,2.54,953698,7.1,6777264,2.64,9645334,78038,0.03,68447,5873192,Strong,High,100,Low,Excellent
514,1143092,95257,52951,635412,16883555,14.77,617090,11.7,5703681,4.99,1963085,8611521,7.53,67552,29397475,Moderate,High,82,Low,Excellent
515,3964212,330351,212698,2552376,18896802,4.77,1014245,4.8,12917905,3.26,4081447,5698561,1.44,120284,22870522,Strong,High,82,Low,Excellent
516,479434,39952,267691,3212292,3901316,8.14,540687,2.0,1133372,2.36,6420191,10631080,22.17,57771,22713430,Basic,Moderate,65,Moderate,Excellent
517,3709679,309139,200124,2401488,17331005,4.67,1123343,5.6,163128,0.04,4418274,4165071,1.12,75311,3120878,Strong,High,69,Moderate,Excellent
518,3118844,259903,54860,658320,18607660,5.97,1953279,35.6,2994493,0.96,7995273,5265911,1.69,92677,7333862,Moderate,Low,73,Moderate,Excellent
519,5980319,498359,114702,1376424,16743639,2.8,1545836,13.5,3349848,0.56,3940319,4061034,0.68,69574,6938339,Basic,Low,72,Moderate,Excellent
520,2344597,195383,201660,2419920,5234342,2.23,1633552,8.1,1789949,0.76,2011227,1316802,0.56,177160,22260818,Strong,High,81,Low,Excellent
521,305563,25463,298888,3586656,1418115,4.64,1778407,6.0,8091518,26.48,6227644,10413072,34.08,82684,16520201,Moderate,Moderate,78,Moderate,Excellent
522,1784040,148670,282981,3395772,9404187,5.27,834413,2.9,3726098,2.09,9674836,2151610,1.21,14194,17640754,Strong,Moderate,79,Moderate,Excellent
523,4786290,398857,32072,384864,16860270,3.52,728317,22.7,6605473,1.38,2932663,7670476,1.6,31553,23429199,Strong,Moderate,83,Low,Excellent
524,320620,26718,21197,254364,7071676,22.06,795718,37.5,9747700,30.4,1690268,5459913,17.03,94791,20561420,Moderate,Low,74,Moderate,Excellent
525,4851683,404306,152808,1833696,7957069,1.64,564990,3.7,7907862,1.63,5756203,6139188,1.27,48211,16735944,Strong,Low,79,Moderate,Excellent
526,3765606,313800,210197,2522364,12249984,3.25,1791651,8.5,6720828,1.78,4691405,7561977,2.01,47156,19173328,Basic,High,87,Low,Excellent
527,2167356,180613,67360,808320,9057988,4.18,1686293,25.0,3956154,1.83,9317059,7251427,3.35,99846,6578789,Basic,High,79,Moderate,Excellent
528,1504500,125375,262981,3155772,326897,0.22,370372,1.4,7071943,4.7,8381860,2256060,1.5,165321,17347875,Moderate,Moderate,51,Moderate,Poor
529,2766869,230572,146582,1758984,18862236,6.82,1800409,12.3,9526682,3.44,800429,6684074,2.42,25945,23170784,Basic,Low,71,Moderate,Excellent
530,2057470,171455,148321,1779852,15990009,7.77,1759451,11.9,10567334,5.14,1615677,7547311,3.67,87728,8716405,Moderate,Moderate,74,Moderate,Excellent
531,4950556,412546,150116,1801392,11547431,2.33,41597,0.3,6908201,1.4,2034027,5890320,1.19,178149,20319759,Basic,High,61,Moderate,Excellent
532,5080952,423412,297296,3567552,5856551,1.15,1636426,5.5,4774942,0.94,5957741,5454109,1.07,176473,17127676,Strong,High,71,Moderate,Good
533,3999121,333260,56108,673296,12786620,3.2,1286946,22.9,4807067,1.2,7780468,10598371,2.65,37971,29133892,Basic,High,84,Low,Excellent
534,3080218,256684,236153,2833836,19180974,6.23,848869,3.6,14242191,4.62,1196955,1327277,0.43,42467,11530158,Basic,Moderate,83,Low,Excellent
535,2908167,242347,167754,2013048,8974884,3.09,1269584,7.6,10815336,3.72,6634639,4550787,1.56,116627,26205140,Moderate,High,82,Low,Excellent
536,5173439,431119,288120,3457440,15109180,2.92,868197,3.0,2807132,0.54,3085098,387572,0.07,32778,24419990,Basic,High,79,Moderate,Excellent
537,2360968,196747,56976,683712,7065606,2.99,350036,6.1,6661319,2.82,1728209,1603125,0.68,16722,29483976,Strong,High,96,Low,Excellent
538,701520,58460,28822,345864,13321529,18.99,1098871,38.1,12834509,18.3,1396723,1743629,2.49,68800,20740067,Basic,Low,71,Moderate,Excellent
539,5743134,478594,219391,2632692,10380756,1.81,480994,2.2,4150624,0.72,4767670,7434998,1.29,164228,4241673,Basic,High,62,Moderate,Excellent
540,1681163,140096,29979,359748,1179605,0.7,1391563,46.4,5986802,3.56,5455972,7988550,4.75,122471,29222496,Moderate,High,72,Moderate,Average
541,3981629,331802,85839,1030068,18095488,4.54,371272,4.3,9912498,2.49,7659527,10587220,2.66,166684,29437092,Strong,High,80,Low,Excellent
542,5616918,468076,294856,3538272,10390509,1.85,1906150,6.5,5824517,1.04,8080774,9054128,1.61,59540,27001512,None,Moderate,75,Moderate,Excellent
543,2832585,236048,206775,2481300,13831264,4.88,544854,2.6,2612506,0.92,5093108,177097,0.06,24,17559579,Basic,Moderate,79,Moderate,Excellent
544,2655536,221294,260994,3131928,17954939,6.76,17442,0.1,11538865,4.35,8253243,8003857,3.01,78541,306439,Strong,Moderate,75,Moderate,Excellent
545,5258030,438169,136223,1634676,242195,0.05,1149684,8.4,6268704,1.19,3163696,6907781,1.31,146945,14666855,Strong,Low,53,Moderate,Poor
546,1619603,134966,219327,2631924,12695589,7.84,462615,2.1,4412076,2.72,1328918,7084001,4.37,163924,8038360,Moderate,Moderate,65,Moderate,Excellent
547,5689651,474137,293891,3526692,9020170,1.59,865922,2.9,3154127,0.55,1148634,3060284,0.54,35815,9717205,None,High,63,Moderate,Excellent
548,4069694,339141,252380,3028560,9131306,2.24,1468997,5.8,10448074,2.57,8254323,3150584,0.77,84054,650801,Basic,Low,77,Moderate,Excellent
549,4737659,394804,26602,319224,6239030,1.32,214483,8.1,4733096,1.0,4516344,2097809,0.44,114928,24397664,None,Low,76,Moderate,Good
550,1006627,83885,94001,1128012,494083,0.49,1035111,11.0,3643811,3.62,5736345,7050508,7.0,81677,26364567,Strong,Moderate,68,Moderate,Average
551,4139667,344972,31639,379668,11081305,2.68,168240,5.3,14152358,3.42,2450947,940167,0.23,69862,26026592,Strong,Low,83,Low,Excellent
552,4806624,400552,261492,3137904,6093610,1.27,403056,1.5,14118686,2.94,4195637,6401806,1.33,3307,4092350,Basic,Moderate,69,Moderate,Good
553,3965825,330485,144584,1735008,1124418,0.28,417710,2.9,7731522,1.95,1576392,8743263,2.2,174589,6994325,Strong,Moderate,48,High,Poor
554,5966352,497196,178635,2143620,10840201,1.82,332632,1.9,10555624,1.77,707762,9220421,1.55,136557,4098389,Moderate,Moderate,63,Moderate,Excellent
555,5606294,467191,171664,2059968,6668058,1.19,755869,4.4,14890107,2.66,873883,11185282,2.0,57091,3789250,Basic,High,71,Moderate,Good
556,3892011,324334,185138,2221656,505588,0.13,350980,1.9,13327659,3.42,4632190,9809585,2.52,31365,13281122,Basic,Low,50,Moderate,Poor
557,602265,50188,264178,3170136,5200666,8.64,778879,2.9,12931827,21.47,1501223,4172867,6.93,41339,16774505,None,High,66,Moderate,Excellent
558,5439569,453297,192430,2309160,2015022,0.37,125357,0.7,5964596,1.1,2582322,11766333,2.16,140601,26557200,None,Low,37,High,Average
559,4342322,361860,136988,1643856,10628015,2.45,1170945,8.5,13229872,3.05,5827024,7360481,1.7,50584,716482,Strong,Moderate,89,Low,Excellent
560,1380215,115017,146437,1757244,1325015,0.96,1017752,7.0,11855216,8.59,7340032,9378879,6.8,77257,18211133,Strong,Low,71,Moderate,Good
561,5003838,416986,112846,1354152,18240878,3.65,729105,6.5,5430463,1.09,7858359,4619177,0.92,156940,28875630,Basic,Low,78,Moderate,Excellent
562,4705503,392125,96277,1155324,15078831,3.2,620070,6.4,13747562,2.92,4418267,9086640,1.93,96236,15236362,None,High,78,Moderate,Excellent
563,4494281,374523,213727,2564724,6225497,1.39,1851643,8.7,314067,0.07,6108168,10405184,2.32,62596,10760708,None,High,70,Moderate,Good
564,4771094,397591,218156,2617872,6370961,1.34,1099053,5.0,11462599,2.4,8347489,9252094,1.94,40404,20570183,Moderate,Moderate,81,Low,Good
565,3687689,307307,183833,2205996,3706561,1.01,201864,1.1,8777848,2.38,1118702,734460,0.2,34019,5994123,None,Low,66,Moderate,Good
566,1148043,95670,269473,3233676,6429587,5.6,207101,0.8,533803,0.46,9579994,10766806,9.38,101868,22076174,Strong,High,65,Moderate,Excellent
567,5484243,457020,149185,1790220,1647040,0.3,768300,5.1,3703113,0.68,1189067,219548,0.04,54719,22003297,Strong,Low,60,Moderate,Average
568,4176364,348030,46824,561888,12110668,2.9,1170252,25.0,12473481,2.99,6978536,6191944,1.48,15283,27636871,Moderate,High,90,Low,Excellent
569,591023,49251,51903,622836,10197344,17.25,163442,3.1,3622201,6.13,8715516,1629390,2.76,26535,24332732,Basic,High,74,Moderate,Excellent
570,3482391,290199,114331,1371972,6480013,1.86,1103504,9.7,11020559,3.16,4173551,9563477,2.75,163925,6002817,Strong,High,85,Low,Excellent
571,1135117,94593,202675,2432100,15392108,13.56,1473355,7.3,11160914,9.83,7165129,1746548,1.54,43728,26590598,Basic,High,79,Moderate,Excellent
572,3618505,301542,279604,3355248,11325052,3.13,1378944,4.9,2653760,0.73,8957363,10064915,2.78,116132,11822034,Moderate,High,73,Moderate,Excellent
573,2973396,247783,209888,2518656,13835944,4.65,1602610,7.6,10624018,3.57,7224069,5426605,1.83,159491,8077308,Basic,Moderate,75,Moderate,Excellent
574,4865736,405478,148215,1778580,12079882,2.48,948758,6.4,7507800,1.54,6662074,3282,0.0,9086,9545637,None,High,96,Low,Excellent
575,1383181,115265,173251,2079012,220413,0.16,629845,3.6,3722641,2.69,3604128,5283223,3.82,5688,25888018,Moderate,High,67,Moderate,Poor
576,4538856,378238,96115,1153380,3163751,0.7,79138,0.8,7723723,1.7,5966913,2619042,0.58,36282,8891527,Moderate,High,78,Moderate,Average
577,2345951,195495,137156,1645872,8598116,3.67,1700945,12.4,5038238,2.15,1541912,9571186,4.08,104804,19094650,Basic,High,74,Moderate,Excellent
578,897613,74801,185232,2222784,16191126,18.04,362602,2.0,8191918,9.13,9667576,1599943,1.78,156036,21550489,Moderate,Low,64,Moderate,Excellent
579,5084218,423684,215040,2580480,2633264,0.52,1636034,7.6,938227,0.18,5610127,5837300,1.15,113850,13976149,None,Low,45,High,Average
580,5725908,477159,20994,251928,12834132,2.24,113514,5.4,5113416,0.89,8797692,690923,0.12,83706,18117035,Basic,Moderate,84,Low,Excellent
581,4464450,372037,130761,1569132,5140454,1.15,105947,0.8,11301723,2.53,6591477,7476199,1.67,156010,19302349,None,Low,55,Moderate,Good
582,3873339,322778,166929,2003148,13231264,3.42,310404,1.9,2217764,0.57,5639966,1384877,0.36,124742,19174364,None,High,73,Moderate,Excellent
583,3598659,299888,152655,1831860,2854777,0.79,835771,5.5,8419194,2.34,7289551,11708324,3.25,34177,25569581,Basic,Moderate,70,Moderate,Average
584,4941716,411809,118865,1426380,16369902,3.31,829043,7.0,10942912,2.21,9585338,3290000,0.67,147106,20669423,Basic,Low,82,Low,Excellent
585,850993,70916,154595,1855140,14430611,16.96,678243,4.4,11487996,13.5,9663982,1503148,1.77,29499,22540107,Strong,Moderate,76,Moderate,Excellent
586,3314087,276173,197613,2371356,6391775,1.93,672637,3.4,5780168,1.74,9963605,10995952,3.32,6345,25826218,Moderate,Low,77,Moderate,Excellent
587,3183633,265302,246845,2962140,4892856,1.54,923718,3.7,752920,0.24,3917305,3350161,1.05,179662,12543344,Basic,High,61,Moderate,Excellent
588,969863,80821,73915,886980,1829992,1.89,509709,6.9,10418692,10.74,2477610,4826554,4.98,3600,11518275,None,Moderate,80,Low,Excellent
589,4025390,335449,262039,3144468,763300,0.19,695995,2.7,3506598,0.87,9026233,3554677,0.88,53425,18334954,Moderate,High,64,Moderate,Poor
590,4301918,358493,89106,1069272,617016,0.14,789801,8.9,9781199,2.27,8838222,729507,0.17,66966,5714979,None,Moderate,74,Moderate,Poor
591,1933560,161130,157229,1886748,1781245,0.92,975093,6.2,10985014,5.68,139824,1117325,0.58,101880,22158435,Moderate,High,73,Moderate,Good
592,5787323,482276,203858,2446296,3620235,0.63,40010,0.2,4907261,0.85,6484783,3878365,0.67,99798,17063781,None,Moderate,55,Moderate,Average
593,4315640,359636,293690,3524280,2953483,0.68,390945,1.3,3336572,0.77,8399526,7683734,1.78,146980,23906499,None,Low,41,High,Average
594,2325275,193772,292566,3510792,10231669,4.4,699546,2.4,8219709,3.53,6600153,2634111,1.13,4816,11636002,Moderate,Moderate,76,Moderate,Excellent
595,5494817,457901,173506,2082072,7925716,1.44,1051200,6.1,4628469,0.84,1040350,10499053,1.91,67549,29483516,Strong,Low,70,Moderate,Good
596,4905168,408764,161902,1942824,7569299,1.54,318155,2.0,5734220,1.17,6590872,11021486,2.25,35982,2945911,Strong,High,80,Low,Excellent
597,5937433,494786,134237,1610844,14003383,2.36,504073,3.8,9611642,1.62,2562705,7154895,1.21,81889,20312809,Moderate,Moderate,74,Moderate,Excellent
598,4798586,399882,84086,1009032,6937622,1.45,1368334,16.3,2324928,0.48,9748077,9082410,1.89,179319,26847070,Basic,Low,61,Moderate,Good
599,2842066,236838,289624,3475488,4538320,1.6,901910,3.1,12919295,4.55,2435253,11009741,3.87,148070,5303208,Moderate,Low,66,Moderate,Excellent
600,4925309,410442,294425,3533100,3972418,0.81,386159,1.3,5328403,1.08,2441467,494648,0.1,83542,29532325,Strong,Moderate,69,Moderate,Good
601,2794668,232889,247261,2967132,9187074,3.29,318677,1.3,13071261,4.68,3153002,1791327,0.64,34483,6199063,None,High,80,Low,Excellent
602,5425322,452110,154912,1858944,19026808,3.51,1284216,8.3,3874049,0.71,3895376,3874066,0.71,6837,12054810,None,High,79,Moderate,Excellent
603,4248029,354002,85300,1023600,16855216,3.97,1774480,20.8,10145379,2.39,7864546,11945698,2.81,170280,12547995,Basic,Moderate,75,Moderate,Excellent
604,4372544,364378,263432,3161184,4614161,1.06,343484,1.3,3242361,0.74,3796232,540722,0.12,107109,25653666,None,Moderate,63,Moderate,Good
605,3714864,309572,131682,1580184,6805965,1.83,1589172,12.1,3431982,0.92,1109583,2970879,0.8,115155,29096021,Strong,High,83,Low,Excellent
606,2975422,247951,254885,3058620,8280691,2.78,896649,3.5,6792537,2.28,701728,10199372,3.43,99712,24165932,Moderate,Moderate,65,Moderate,Excellent
607,5379674,448306,296101,3553212,17623812,3.28,1345100,4.5,14693200,2.73,646123,8735042,1.62,28656,15153503,Strong,Low,71,Moderate,Excellent
608,2311262,192605,286949,3443388,18047893,7.81,829656,2.9,12334107,5.34,658532,9356669,4.05,101554,17318337,None,Low,50,Moderate,Excellent
609,2692589,224382,245452,2945424,13356002,4.96,1854716,7.6,5109570,1.9,4796850,7740121,2.87,43643,14175478,Moderate,High,90,Low,Excellent
610,707570,58964,286040,3432480,4772769,6.75,972195,3.4,13923302,19.68,7578236,1517344,2.14,131244,3797408,Basic,High,74,Moderate,Excellent
611,4833595,402799,85939,1031268,13189130,2.73,867296,10.1,5426773,1.12,7564609,417955,0.09,46891,15222999,Basic,Moderate,91,Low,Excellent
612,1006481,83873,146115,1753380,10874145,10.8,1450636,9.9,10881306,10.81,2751363,2072728,2.06,23905,3830739,Strong,High,89,Low,Excellent
613,3294589,274549,59725,716700,17576392,5.33,1483271,24.8,6443916,1.96,8584338,10268873,3.12,41916,12706346,Strong,Low,85,Low,Excellent
614,1683487,140290,190737,2288844,18974748,11.27,1827259,9.6,11065082,6.57,2518087,2719990,1.62,37907,6001772,None,Moderate,76,Moderate,Excellent
615,2834213,236184,177276,2127312,14973941,5.28,605616,3.4,10510134,3.71,3031576,1972228,0.7,34490,6806573,None,High,85,Low,Excellent
616,2373248,197770,21400,256800,15389493,6.48,1043600,48.8,14351416,6.05,8365828,9118436,3.84,1507,20400555,Strong,Low,85,Low,Excellent
617,2069269,172439,264410,3172920,15224937,7.36,860149,3.3,7413438,3.58,1332193,10086740,4.87,157313,220554,Basic,High,69,Moderate,Excellent
618,2582980,215248,123861,1486332,1641442,0.64,387637,3.1,2487325,0.96,923819,10960167,4.24,91493,1232154,Basic,Low,43,High,Average
619,5845172,487097,171469,2057628,11110244,1.9,1930186,11.3,1471406,0.25,822609,1826831,0.31,109302,5981023,Basic,High,74,Moderate,Excellent
620,2635556,219629,108018,1296216,15278602,5.8,1571468,14.5,9713442,3.69,6042962,601296,0.23,24412,25786983,Moderate,Moderate,98,Low,Excellent
621,3341784,278482,213673,2564076,2270516,0.68,1590568,7.4,7169304,2.15,9235372,1089275,0.33,76764,15797991,Basic,Low,77,Moderate,Average
622,2551989,212665,187600,2251200,17684955,6.93,867713,4.6,8802102,3.45,3520621,11674081,4.57,54801,20537115,None,Low,67,Moderate,Excellent
623,5042974,420247,292320,3507840,2941708,0.58,1014314,3.5,12147948,2.41,4818203,7164770,1.42,159604,28447379,Moderate,Moderate,63,Moderate,Average
624,4657301,388108,200521,2406252,4352450,0.93,1288259,6.4,9439437,2.03,8328158,8719216,1.87,165637,16701420,Strong,Low,71,Moderate,Good
625,5362066,446838,137013,1644156,9747161,1.82,405915,3.0,26523,0.0,1983186,402431,0.08,121866,20986979,None,High,65,Moderate,Excellent
626,1989217,165768,232386,2788632,13892915,6.98,95404,0.4,5600104,2.82,5866154,9402211,4.73,167117,7124878,None,High,66,Moderate,Excellent
627,1937680,161473,162653,1951836,8536835,4.41,1657160,10.2,1138100,0.59,5163566,5037929,2.6,132825,18454722,Moderate,Low,65,Moderate,Excellent
628,1204931,100410,189736,2276832,11454194,9.51,830575,4.4,12153358,10.09,9544919,10334653,8.58,7632,27918722,Basic,Low,74,Moderate,Excellent
629,3022559,251879,192176,2306112,16076205,5.32,1921333,10.0,7960796,2.63,596568,10832246,3.58,35587,16156308,Basic,High,79,Moderate,Excellent
630,4113943,342828,296525,3558300,11244414,2.73,969870,3.3,13153153,3.2,6944979,939897,0.23,136596,10044309,Moderate,High,93,Low,Excellent
631,4745333,395444,24813,297756,6988128,1.47,1210890,48.8,11500669,2.42,5565326,5932348,1.25,17357,5009841,Moderate,Low,81,Low,Good
632,3095016,257918,211734,2540808,17927232,5.79,1766652,8.3,2784505,0.9,9579482,10161776,3.28,102122,6287392,None,Moderate,70,Moderate,Excellent
633,2888212,240684,31582,378984,9109941,3.15,867947,27.5,1456225,0.5,8339189,3986975,1.38,97408,15163460,Moderate,Low,64,Moderate,Excellent
634,4654861,387905,173501,2082012,5872453,1.26,235366,1.4,6278297,1.35,627384,3390648,0.73,24275,14890587,None,Moderate,65,Moderate,Good
635,4444759,370396,95781,1149372,6382444,1.44,713274,7.4,8111313,1.82,8785019,5206955,1.17,85809,4808183,None,High,80,Low,Good
636,5926716,493893,84582,1014984,6884936,1.16,1519534,18.0,613249,0.1,7706923,6502651,1.1,136929,3886810,None,Moderate,59,Moderate,Good
637,619350,51612,60652,727824,11183348,18.06,979109,16.1,14918063,24.09,774096,1729778,2.79,136466,25708740,Moderate,Low,74,Moderate,Excellent
638,5094923,424576,178652,2143824,7041252,1.38,672934,3.8,3364763,0.66,3230379,4807802,0.94,72522,17860212,Moderate,Moderate,75,Moderate,Good
639,5879796,489983,76682,920184,9148757,1.56,313148,4.1,2642344,0.45,4590865,1920326,0.33,3999,20902564,None,Low,69,Moderate,Excellent
640,4801060,400088,198667,2384004,18433652,3.84,667911,3.4,4547499,0.95,2374929,11817094,2.46,74256,19263027,Basic,Low,62,Moderate,Excellent
641,847628,70635,178251,2139012,11366191,13.41,1133672,6.4,7443172,8.78,851044,2182279,2.57,7600,15795264,None,Low,74,Moderate,Excellent
642,3467867,288988,43206,518472,2889693,0.83,894363,20.7,6575272,1.9,3002836,11822528,3.41,156269,29906256,Strong,High,74,Moderate,Good
643,3233192,269432,178808,2145696,11151214,3.45,1714300,9.6,3324357,1.03,8950391,1317776,0.41,122079,19051847,Basic,Low,78,Moderate,Excellent
644,4178183,348181,65993,791916,15286868,3.66,650938,9.9,11483634,2.75,7808058,7894449,1.89,60737,7509295,Basic,High,87,Low,Excellent
645,2414703,201225,205552,2466624,13155918,5.45,384519,1.9,11737585,4.86,5541983,5448586,2.26,118825,16358011,None,Low,58,Moderate,Excellent
646,4237393,353116,74185,890220,11792397,2.78,1003806,13.5,7738351,1.83,2865574,4735492,1.12,91387,20281648,Basic,High,78,Moderate,Excellent
647,1113457,92788,227696,2732352,3589696,3.22,683398,3.0,9330646,8.38,1189907,5068701,4.55,139656,15467749,Strong,High,79,Moderate,Excellent
648,3718202,309850,140082,1680984,8176915,2.2,1149132,8.2,2667917,0.72,8092903,6439371,1.73,17317,11432470,Basic,High,79,Moderate,Excellent
649,5207417,433951,241045,2892540,14608046,2.81,1189528,4.9,13209151,2.54,5741177,9135645,1.75,61906,5807784,None,High,78,Moderate,Excellent
650,5066640,422220,270134,3241608,3836038,0.76,1241856,4.6,10000487,1.97,7766314,5458938,1.08,145512,3276721,Strong,Low,67,Moderate,Average
651,2833990,236165,227752,2733024,2335644,0.82,1254640,5.5,1824432,0.64,6357071,5492998,1.94,129576,21642243,None,Low,47,High,Good
652,2075459,172954,87832,1053984,19487336,9.39,1894265,21.6,12666605,6.1,3092,2461642,1.19,173246,5006872,Strong,High,75,Moderate,Excellent
653,2695306,224608,219463,2633556,19392160,7.19,937762,4.3,3282741,1.22,3450430,11433954,4.24,82994,10057448,Moderate,Moderate,74,Moderate,Excellent
654,3137900,261491,61812,741744,19553072,6.23,17027,0.3,10259112,3.27,8563491,6781307,2.16,33437,28605327,Moderate,Low,72,Moderate,Excellent
655,3347266,278938,42854,514248,28296,0.01,1475040,34.4,9395748,2.81,6027124,1840432,0.55,73979,29047388,None,Low,59,Moderate,Poor
656,3871492,322624,221710,2660520,10674581,2.76,1492697,6.7,6422144,1.66,6812097,6401599,1.65,114082,18291151,Basic,High,83,Low,Excellent
657,1704669,142055,263969,3167628,4666376,2.74,394740,1.5,9318427,5.47,6452434,6044627,3.55,109375,5176351,Moderate,High,72,Moderate,Excellent
658,1303182,108598,85400,1024800,389323,0.3,150462,1.8,10878166,8.35,263533,2415850,1.85,127585,22076356,Strong,Low,43,High,Average
659,960208,80017,86942,1043304,13953793,14.53,1803871,20.7,7650891,7.97,7142130,10456374,10.89,47132,15246944,Strong,High,85,Low,Excellent
660,4025257,335438,216701,2600412,11922132,2.96,473413,2.2,3117056,0.77,7126489,10143056,2.52,1947,19392398,Strong,High,76,Moderate,Excellent
661,2236002,186333,278050,3336600,9034545,4.04,861589,3.1,9163149,4.1,9669587,6156735,2.75,8771,1270539,Strong,High,88,Low,Excellent
662,3341861,278488,74330,891960,19470589,5.83,1009847,13.6,11584621,3.47,1343236,2383832,0.71,137994,28835023,Moderate,Moderate,78,Moderate,Excellent
663,4586487,382207,56017,672204,17560939,3.83,1866288,33.3,10235286,2.23,1483883,4114298,0.9,123850,21161533,None,High,80,Low,Excellent
664,5565757,463813,297694,3572328,19449103,3.49,655359,2.2,10285089,1.85,885405,5763748,1.04,140255,26123035,None,Moderate,57,Moderate,Excellent
665,4058719,338226,283783,3405396,15744826,3.88,1203692,4.2,12311365,3.03,5561881,7063478,1.74,92514,26783926,Moderate,Moderate,77,Moderate,Excellent
666,1655160,137930,33521,402252,10202924,6.16,1524570,45.5,13170476,7.96,9457421,4369510,2.64,16100,21115805,Strong,High,93,Low,Excellent
